sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,popularity
64.29,26.19,1.66,28.14,8.32,3.1222222222222222,2
16.189999999999998,8.41,0.47,5.5200000000000005,1.78,4.6499999999999995,2
26.72,12.819999999999999,0.5,9.76,3.63,1.3500000000000003,2
30.71,15.57,0.62,11.26,3.2600000000000002,5.0,2
30.990000000000002,17.65,0.59,9.450000000000001,3.31,7.366666666666667,2
19.71,9.02,0.21,7.68,2.8,1.9600000000000002,2
29.590000000000003,14.12,0.72,11.079999999999998,3.6699999999999995,5.583333333333333,2
25.02,13.54,0.46,8.08,2.95,3.9999999999999996,2
19.820000000000004,8.49,0.4,8.229999999999999,2.6999999999999997,2.0250000000000004,2
13.11,6.99,0.3,4.52,1.3,3.7199999999999998,2
16.92,2.71,0.29000000000000004,11.780000000000001,2.13,3.7624999999999997,2
22.53,11.6,0.5800000000000001,7.64,2.72,4.866666666666665,2
17.02,2.64,0.16,12.07,2.15,2.95,2
28.800000000000004,15.06,0.49,9.6,3.65,5.875,2
9.97,7.08,0.08,2.01,0.8,6.2,1
9.96,6.72,0.04,2.36,0.83,0.0,1
18.33,10.059999999999999,0.42000000000000004,5.8,2.06,4.4624999999999995,2
14.3,7.37,0.5,4.470000000000001,1.96,0.0,2
12.22,1.5799999999999998,0.16,8.930000000000001,1.56,0.7375,2
20.509999999999998,9.52,0.41,8.08,2.5,6.016666666666667,2
13.6,6.14,0.19,5.46,1.83,1.9750000000000003,2
13.510000000000002,5.85,0.29000000000000004,5.59,1.79,5.2,2
15.82,3.1599999999999997,0.12000000000000001,10.56,1.9900000000000002,7.25,2
12.67,5.930000000000001,0.25,4.78,1.7200000000000002,4.3,2
15.360000000000003,2.6700000000000004,0.18,10.110000000000003,2.42,0.7,2
15.199999999999998,4.31,0.05,9.55,1.29,3.427272727272727,2
11.26,4.46,0.31,4.23,2.24,5.220000000000001,2
21.78,10.66,0.35000000000000003,7.989999999999999,2.8099999999999996,7.266666666666667,2
15.94,9.38,0.0,4.72,1.8299999999999998,5.857142857142858,2
17.32,8.22,0.41,6.5,2.19,5.18,2
13.16,5.87,0.31,5.32,1.6600000000000001,5.5,2
10.41,5.260000000000001,0.09,3.94,1.1300000000000001,1.72,2
10.950000000000001,5.21,0.09,4.409999999999999,1.2500000000000002,3.257142857142858,2
8.93,5.42,0.0,2.65,0.85,0.0,1
8.91,4.390000000000001,0.17,3.3000000000000003,1.07,3.4,1
6.74,3.28,0.21,2.22,1.02,9.5,1
13.06,2.08,0.15,8.509999999999998,2.31,4.312499999999999,2
17.310000000000002,2.88,0.21000000000000002,12.139999999999999,2.09,0.0,2
13.07,6.59,0.26,4.609999999999999,1.6,3.1666666666666665,2
13.059999999999999,6.25,0.19,5.0,1.6300000000000001,4.183333333333333,2
24.009999999999998,9.07,2.5,9.48,2.96,2.914285714285714,2
18.029999999999998,3.1899999999999995,0.15,12.450000000000001,2.21,4.088888888888889,2
6.27,3.11,0.02,2.8,0.33,3.685714285714285,1
12.78,6.709999999999999,0.29000000000000004,4.08,1.71,1.3833333333333335,2
5.74,2.26,1.36,1.89,0.23,3.033333333333333,1
15.33,8.950000000000001,0.0,4.82,1.5699999999999998,2.9750000000000005,2
5.66,3.09,0.07,1.92,0.58,2.2,1
11.41,5.6899999999999995,0.29,3.95,1.45,5.966666666666667,2
11.29,5.199999999999999,0.16,4.489999999999999,1.44,5.074999999999999,2
10.29,5.710000000000001,0.15,3.17,1.26,5.619999999999999,2
5.5,2.99,0.1,1.9,0.51,9.2,1
7.24,3.1199999999999997,0.24,2.98,0.9099999999999999,2.58,1
7.539999999999999,3.05,1.8800000000000001,1.9,0.72,3.2199999999999998,1
7.53,3.21,0.2,3.71,0.41000000000000003,3.1599999999999993,1
7.14,5.8999999999999995,0.01,0.46,0.78,2.3375,1
6.72,3.0700000000000003,0.13,2.6799999999999997,0.8600000000000001,3.125,1
5.12,3.22,0.0,1.69,0.2,2.3333333333333335,1
7.33,5.82,0.0,0.65,0.8500000000000001,4.6,1
5.1,1.63,0.44,2.46,0.57,2.84,1
5.43,3.6999999999999997,0.05,1.26,0.42,3.7,1
8.739999999999998,4.18,1.2100000000000002,2.35,0.99,2.9,1
12.529999999999998,1.9499999999999997,0.09,7.990000000000001,2.4699999999999998,5.85,2
6.05,2.48,0.19,2.0599999999999996,1.3199999999999998,3.4,1
6.21,2.5300000000000002,1.06,1.83,0.79,2.0250000000000004,1
8.459999999999999,6.0,0.03,2.1599999999999997,0.28,6.114285714285714,1
5.01,2.79,0.0,1.89,0.33,0.0,1
16.38,11.14,0.04,2.5700000000000003,2.6399999999999997,4.814285714285715,2
4.97,2.32,0.12,1.73,0.8,8.7,1
9.940000000000001,5.609999999999999,0.16,3.0199999999999996,1.1400000000000001,4.466666666666667,1
9.030000000000001,7.680000000000001,0.02,0.46,0.8600000000000001,3.34,1
6.590000000000001,1.76,0.09000000000000001,3.86,0.88,1.0,1
4.79,2.57,0.44,1.57,0.21,3.0666666666666664,1
4.73,2.36,0.02,2.1,0.25,7.0,1
7.040000000000001,3.1999999999999997,0.0,2.97,0.8900000000000001,2.6500000000000004,1
6.619999999999999,4.49,0.02,1.88,0.23,7.628571428571428,1
6.65,3.33,0.08,2.4999999999999996,0.75,1.3833333333333335,1
5.66,3.25,0.13,2.04,0.24,3.8874999999999993,1
4.6,2.08,0.06,1.98,0.49,9.1,1
8.01,3.08,0.49,3.5999999999999996,0.85,3.5999999999999996,1
8.18,3.84,0.17,3.12,1.05,5.4,1
6.5,2.8699999999999997,0.12,2.6,0.9,0.0,1
7.6,6.8500000000000005,0.01,0.53,0.21,2.0777777777777775,1
8.4,5.5600000000000005,0.05,2.41,0.37,5.233333333333333,1
7.84,4.59,0.27,2.1,0.89,3.957142857142857,1
8.05,5.159999999999999,0.03,2.29,0.5800000000000001,2.9222222222222225,1
5.529999999999999,0.2,1.3399999999999999,3.12,0.88,2.833333333333333,1
7.4399999999999995,3.29,0.16,3.04,0.97,0.0,1
8.030000000000001,4.44,0.1,2.809999999999999,0.68,4.290000000000001,1
6.180000000000001,3.83,0.01,1.76,0.6000000000000001,1.4,1
7.37,3.0900000000000003,0.36,2.9899999999999998,0.92,0.0,1
9.700000000000001,3.86,0.22000000000000003,4.37,1.2700000000000002,0.0,1
5.459999999999999,4.64,0.0,0.69,0.12000000000000001,0.0,1
7.82,4.5,0.09000000000000001,2.2800000000000002,0.96,5.4799999999999995,1
7.6000000000000005,5.98,0.05,1.4200000000000004,0.15,2.3125,1
9.209999999999999,3.8499999999999996,0.14,3.99,1.24,3.34,1
5.13,1.2700000000000002,0.04,2.9599999999999995,0.86,2.285714285714286,1
7.2700000000000005,3.94,0.74,1.8,0.8,4.616666666666667,1
6.669999999999999,4.9799999999999995,0.31,1.1800000000000002,0.2,0.5363636363636364,1
4.16,3.79,0.0,0.27,0.11,0.5333333333333332,1
5.89,4.800000000000001,0.01,0.48,0.6100000000000001,2.6428571428571432,1
8.28,3.79,0.09,3.37,1.03,0.0,1
6.65,3.67,0.1,1.96,0.9299999999999999,0.0,1
6.38,1.55,0.03,3.53,1.27,6.655555555555555,1
5.69,2.62,0.11,2.14,0.8,1.6200000000000003,1
6.219999999999999,2.06,0.01,3.5600000000000005,0.5900000000000001,1.4,1
7.25,4.21,0.14,2.0700000000000003,0.8300000000000001,4.9399999999999995,1
6.469999999999999,3.53,0.05,2.24,0.65,0.5250000000000001,1
8.549999999999999,3.02,0.22,4.23,1.09,3.6285714285714286,1
6.529999999999999,2.56,0.11,3.03,0.85,0.0,1
4.5,0.18,0.92,2.59,0.8,2.225,1
4.05,2.35,0.03,1.27,0.41,9.1,1
4.05,2.28,0.16,1.55,0.06,0.0,1
4.05,1.68,0.51,1.51,0.35,8.7,1
8.31,5.970000000000001,0.1,1.05,1.2100000000000002,2.4285714285714284,1
4.57,2.52,0.0,1.4800000000000002,0.56,0.0,1
5.800000000000001,2.58,0.15,2.27,0.79,4.279999999999999,1
14.600000000000001,6.57,0.48000000000000004,5.79,1.78,4.283333333333332,2
13.709999999999999,6.23,0.2,5.579999999999999,1.73,6.35,2
6.47,4.11,0.01,1.84,0.5,3.54,1
6.899999999999999,3.69,0.0,2.54,0.6799999999999999,5.4,1
3.88,2.15,0.1,1.13,0.5,7.6,1
3.94,0.23,1.12,1.91,0.68,2.325,1
3.84,2.12,0.22,1.44,0.06,0.0,1
11.929999999999998,6.7700000000000005,0.0,3.1799999999999997,2.02,3.82,2
3.76,2.03,0.0,1.56,0.17,7.3,1
4.04,1.5299999999999998,0.13,1.5,0.89,2.125,1
4.89,1.08,0.04,3.13,0.63,2.7444444444444445,1
5.75,3.58,0.01,1.75,0.42,2.685714285714286,1
5.340000000000001,2.48,0.12,2.16,0.5700000000000001,3.4499999999999997,1
4.4,2.26,0.0,1.32,0.8200000000000001,1.8000000000000003,1
3.65,2.53,0.06,0.81,0.24,8.0,1
3.64,2.08,0.15,1.09,0.33,2.25,1
8.48,0.29000000000000004,1.3,3.38,3.51,2.8874999999999997,1
10.72,1.96,0.07,6.22,2.4799999999999995,4.2625,2
10.03,6.199999999999999,0.0,2.21,1.6300000000000001,4.25,2
6.09,3.85,0.0,1.8,0.46,2.42,1
5.6,3.25,0.03,1.81,0.53,2.0250000000000004,1
3.65,2.0799999999999996,0.0,1.41,0.16,1.7399999999999998,1
5.3,1.7599999999999998,0.08,2.76,0.6900000000000001,2.15,1
6.659999999999999,4.48,0.04,1.6100000000000003,0.55,3.08,1
3.58,2.01,0.06,1.35,0.16,3.0,1
3.58,1.6,0.1,1.49,0.39,6.9,1
3.54,1.23,0.05,1.77,0.49,7.7,1
4.16,2.25,0.12,1.61,0.18,5.166666666666666,1
6.97,4.9,0.14,1.3,0.64,5.966666666666667,1
7.259999999999999,4.720000000000001,0.01,2.01,0.5199999999999999,6.5,1
5.1499999999999995,3.11,0.1,1.4999999999999998,0.45999999999999996,1.875,1
4.02,2.36,0.0,1.4200000000000002,0.24000000000000002,0.0,1
6.28,4.3999999999999995,0.05,0.91,0.93,2.542857142857143,1
5.28,3.29,0.0,1.21,0.79,0.0,1
4.4,0.92,0.04,2.869999999999999,0.56,3.8875,1
5.77,3.66,0.03,1.4700000000000002,0.62,3.5428571428571427,1
7.159999999999999,3.63,0.12,2.6500000000000004,0.77,4.450000000000001,1
3.46,2.1,0.01,1.01,0.35,7.1,1
3.44,1.55,0.33,1.27,0.29,7.9,1
13.55,7.67,0.0,3.9499999999999997,1.91,6.733333333333333,2
3.44,2.06,0.03,1.04,0.31,2.9333333333333336,1
3.43,1.83,0.06,1.07,0.47,9.1,1
3.42,1.13,0.0,2.07,0.22,4.18,1
7.63,4.74,0.05,2.14,0.6900000000000001,5.3100000000000005,1
4.16,0.76,0.05,2.7099999999999995,0.65,0.9857142857142859,1
3.39,1.56,0.19,1.47,0.17,6.8,1
3.38,2.17,0.0,0.9,0.32,0.0,1
5.1899999999999995,2.37,0.08,2.0300000000000002,0.7100000000000001,4.1,1
4.71,1.69,0.12,2.27,0.64,0.0,1
4.6899999999999995,3.5500000000000003,0.0,1.0,0.15,0.0,1
5.989999999999999,4.249999999999999,0.08,0.78,0.86,5.5375000000000005,1
5.0600000000000005,2.73,0.12,1.71,0.51,2.55,1
5.589999999999999,3.06,0.03,1.99,0.5,1.46,1
4.58,2.9899999999999998,0.05,1.27,0.27,4.2125,1
7.59,5.999999999999999,0.0,0.48000000000000004,1.13,6.5200000000000005,1
5.67,3.14,0.05,1.9500000000000002,0.54,5.550000000000001,1
6.4399999999999995,4.96,0.0,0.51,0.9500000000000001,3.3200000000000003,1
6.09,0.94,0.62,2.5,2.02,2.5999999999999996,1
7.17,2.48,0.12000000000000001,3.7600000000000002,0.81,0.0,1
5.210000000000001,3.2899999999999996,0.02,1.53,0.38,1.6199999999999999,1
7.239999999999999,3.37,0.13999999999999999,2.8499999999999996,0.89,3.728571428571428,1
3.21,1.72,0.0,1.33,0.16,6.2,1
3.2,1.76,0.07,1.21,0.16,8.7,1
4.83,2.84,0.12,1.6400000000000001,0.24000000000000002,1.0833333333333335,1
4.63,2.09,0.09,1.81,0.64,1.9,1
9.489999999999998,1.9600000000000002,0.04,3.9699999999999998,3.5300000000000002,2.0500000000000003,1
3.14,1.87,0.0,0.97,0.3,7.0,1
4.59,3.0,0.02,1.3900000000000001,0.18000000000000002,0.7000000000000002,1
5.33,2.16,1.0,1.58,0.5800000000000001,0.0,1
3.12,2.14,0.0,0.86,0.13,0.0,1
4.7700000000000005,2.05,0.22,1.87,0.62,4.42,1
5.08,3.0,0.06,1.57,0.46,0.0,1
6.35,4.800000000000001,0.060000000000000005,0.7600000000000001,0.7200000000000001,3.7999999999999994,1
4.95,2.78,0.06,1.59,0.5,7.54,1
